android.permission.BIND_ACCESSIBILITY_SERVICE,android.permission.READ_SMS,android.permission.RECEIVE_SMS,android.permission.SEND_SMS,android.permission.SYSTEM_ALERT_WINDOW,android.permission.REQUEST_INSTALL_PACKAGES,STEALTH_SMS_INTERCEPTION,OTP_INTERCEPTION,DYNAMIC_REFLECTION,CRYPTOGRAPHY_USAGE,CREDENTIAL_HARVESTING,C2_BEHAVIOR,degree_centrality_mean,degree_centrality_std,degree_centrality_median,degree_centrality_min,degree_centrality_max,closeness_centrality_mean,closeness_centrality_std,closeness_centrality_median,closeness_centrality_min,closeness_centrality_max,clustering_coefficient_mean,clustering_coefficient_std,clustering_coefficient_median,clustering_coefficient_min,clustering_coefficient_max,string_entropy_score,flattening_suspected,reflection_call_count,signature_match_count,yara_rule_match_count,yara_max_severity,family
0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.036721897625444,0.0,35.0,0.0,2.0,0.5963797653444065,banker
0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25195808134033,0.0,22.0,0.0,0.0,0.0,banker
0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.524908191869606,1.0,18.0,0.0,2.0,0.5462547939666613,banker
0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.144347530172895,0.0,29.0,1.0,0.0,0.0,banker
0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.054451820855823,0.0,16.0,1.0,2.0,0.5279549752908542,banker
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.348653287103212,0.0,32.0,1.0,3.0,0.8108445173294501,banker
0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2120406877715615,0.0,14.0,0.0,1.0,0.6747526173206995,banker
0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.662699535157541,0.0,20.0,2.0,1.0,0.8099171313196012,banker
0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.756125865457948,0.0,13.0,1.0,0.0,0.0,banker
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.903294943843843,1.0,17.0,0.0,0.0,0.0,banker
